ALBUM           |  24K Magic
ALBUMARTIST     |  Bruno Mars
ALBUMSORT       |  24K Magic
ARTIST          |  Bruno Mars
ARTISTSORT      |  Bruno Mars
COMPILATION     |  0
COPYRIGTH       |  ℗ 2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company
DISCNUMBER      |  1
GENRE           |  Pop
ITUNESADVISORY  |  0
ITUNESALBUMID   |  1161503945
ITUNESARTISTID  |  278873078
ITUNESCATALOGID |  1161504034
ITUNESGENREID   |  14
ITUNESGAPLESS   |  0
ITUNESMEDIATYPE |  Normal
TITLE           |  Perm
TITLESORT       |  Perm
TOTALDISCS      |  1
TOTALTRACKS     |  9
TRACK           |  3
YEAR            |  2016-11-18T12:00:00Z
